,Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,CVM,CVM Normalized,Customer Segment,Churn Risk,Churn Risk Normalized,Adjusted Customer Status
10,0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,None,No,,,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,Stayed,,,0.43993199325402255,0.4548052903575786,High Value,-0.15790000000000007,0.3444033051880615,Stayed Safe
11,0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37.378541,-122.020456,2,72,None,Yes,16.01,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,Stayed,,,0.715825831126802,0.7400265949357695,High Value,-0.9602,0.16327267801508105,Stayed Safe
12,0018-NYROU,Female,58,Yes,0,Antelope,95843,38.715498,-121.363411,0,5,None,Yes,18.65,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,Stayed,,,0.1235562848504186,0.12773349715089063,Low Value,1.6202999999999999,0.7458572267124214,Stayed @ Risk
13,0019-EFAEP,Female,32,No,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,Yes,2.25,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,Stayed,,,0.6344724919093852,0.6559228479210085,High Value,-0.15540000000000012,0.34496771571770435,Stayed Safe
14,0019-GFNTW,Female,39,No,0,Los Olivos,93441,34.70434,-120.02609,0,56,None,No,,,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,Stayed,,,0.45383527052281325,0.46917861203482963,High Value,-0.4489,0.27870591953763485,Stayed Safe
15,0020-INWCK,Female,58,Yes,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,Stayed,,,0.9025429185883173,0.9330562460632836,High Value,-0.6172,0.24070980268207884,Stayed Safe
16,0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,None,No,,,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,Stayed,,,0.3184785085920051,0.32924568522844316,Low Value,-0.6467999999999999,0.23402718201110764,Stayed Safe
17,0021-IKXGC,Female,72,No,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,Yes,7.77,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,Joined,,,0.09919309600862998,0.10254663339663722,Low Value,2.2804000000000006,0.8948841829593173,Joined @ Risk
18,0022-TCJCI,Male,79,No,0,Daly City,94015,37.680844,-122.48131,0,45,None,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services,0.3976951851345397,0.4111405329061539,High Value,-0.15270000000000009,0.34557727908971864,Churned
19,0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37.161544,-121.649371,0,1,None,No,,,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer,0.042407766990291265,0.043841496129378404,Low Value,2.1583,0.8673183726915608,Churned
20,0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37.375816,-119.739935,0,50,None,Yes,31.43,Yes,No,,,,,,,,,,,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,Stayed,,,0.3875990093744777,0.4007030238855158,High Value,-0.539,0.25836456404930686,Stayed Safe
21,0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,None,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Other,Don't know,0.24159363634982398,0.24976147589516162,Low Value,0.9634999999999999,0.5975752923646542,Churned
22,0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,Stayed,,,0.2995113171921595,0.30963724773321066,Low Value,1.3217,0.6784440330518806,Stayed @ Risk
23,0030-FNXPP,Female,22,No,0,Keeler,93530,36.560498,-117.962461,0,3,None,Yes,3.12,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,19.85,57.2,0.0,0,9.36,66.56,Joined,,,0.05014923196134738,0.05184468589039497,Low Value,0.6889000000000001,0.5355804397886845,Joined @ Risk
24,0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,,,,,,,,,,,Month-to-Month,No,Credit Card,20.35,76.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges,0.05779558472735008,0.05974954787643907,Low Value,0.3793,0.46568383979771527,Churned
25,0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33.309852,-116.823091,1,1,None,No,,,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider,0.08024517014808277,0.08295811277339599,Low Value,1.5597999999999999,0.7321984918950646,Churned
26,0036-IHMOT,Female,37,Yes,3,Parlier,93648,36.622237,-119.521126,10,55,None,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,0.0,20,1927.2,7603.95,Stayed,,,0.8307851715569479,0.8588725006788844,High Value,-0.3713000000000001,0.2962252223777486,Stayed Safe
27,0040-HALCW,Male,42,Yes,3,Modesto,95358,37.612612,-121.108568,3,54,None,Yes,19.7,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.4,1090.6,0.0,0,1063.8,2154.4,Stayed,,,0.5039080646475697,0.5209442758650014,High Value,-1.0078,0.15252630153068136,Stayed Safe
28,0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,,,,,,,,,,,One Year,Yes,Bank Withdrawal,19.6,471.85,21.25,0,980.2,1430.8,Stayed,,,0.2118190133248249,0.21898022725259467,Low Value,-0.22110000000000002,0.33013500699869053,Stayed Safe
29,0042-RLHYP,Female,47,Yes,3,Eureka,95503,40.737431,-124.108897,5,69,None,Yes,38.39,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,19.7,1396.9,0.0,0,2648.91,4045.81,Stayed,,,0.6713223911479074,0.6940185749420402,High Value,-0.9636,0.1625050796947668,Stayed Safe
30,0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,0.0,0,1591.37,4838.92,Stayed,,,0.4071039452365858,0.42086738600102536,High Value,0.45330000000000004,0.4823903914751433,Stayed @ Risk
31,0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34.001617,-118.222274,5,49,Offer B,Yes,49.58,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.45,900.9,0.0,0,2429.42,3330.32,Stayed,,,0.531383469592686,0.5493485740642013,High Value,-0.907,0.1752833340858807,Stayed Safe
32,0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,0.0,0,2888.82,10830.97,Stayed,,,0.7492302486094364,0.7745603547563311,High Value,-0.8181000000000002,0.1953537725199801,Stayed Safe
33,0052-YNYOT,Female,28,No,0,Calexico,92231,32.690654,-115.431225,0,67,None,Yes,23.12,No,No,,,,,,,,,,,One Year,No,Bank Withdrawal,20.55,1343.4,30.53,0,1549.04,2861.91,Stayed,,,0.5016991962562863,0.5186607296681708,High Value,-0.4188,0.2855014223145347,Stayed Safe
34,0056-EPFBG,Male,33,Yes,1,Redding,96003,40.677649,-122.29467,4,20,None,No,,,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,0.0,0,0.0,825.4,Stayed,,,0.31874034754767694,0.3295163764809261,Low Value,-0.5099999999999997,0.2649117261931639,Stayed Safe
35,0057-QBUQH,Female,31,No,3,San Martin,95046,37.084697,-121.606417,0,43,None,Yes,30.64,Yes,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,25.1,1070.15,0.0,0,1317.52,2387.67,Stayed,,,0.3381824148776152,0.34961574459403005,Low Value,-0.2,0.33489863186887614,Stayed Safe
36,0058-EVZWM,Female,37,Yes,0,Stockton,95209,38.044523,-121.348048,2,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,0.0,0,279.4,5239.0,Stayed,,,0.5634861620443461,0.5825365999082476,High Value,0.5077,0.49467196460017154,Stayed @ Risk
37,0060-FUALY,Female,60,Yes,0,Los Angeles,90003,33.964131,-118.272783,4,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,0.0,0,967.01,6564.66,Stayed,,,0.6602620212793876,0.6825842741713533,High Value,0.25479999999999997,0.4375761954215017,Stayed Safe
38,0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,33.97803,-118.217141,3,12,None,Yes,19.28,No,No,,,,,,,,,,,Two Year,No,Bank Withdrawal,20.3,224.5,0.0,0,231.36,455.86,Stayed,,,0.2080125969112705,0.21504512285297248,Low Value,-0.6758,0.22748001986725064,Stayed Safe
39,0064-YIJGF,Male,60,Yes,3,Yermo,92398,35.013299,-116.834092,7,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,0.0,0,682.02,2611.02,Stayed,,,0.5058935312374393,0.5229968674535824,High Value,0.9200999999999999,0.5877771255700546,Stayed @ Risk
40,0067-DKWBL,Male,69,No,0,San Diego,92129,32.961064,-117.134917,0,2,None,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,Churned,Competitor,Competitor made better offer,0.07862801403892611,0.08128628357011763,Low Value,1.7857999999999998,0.7832212037747774,Churned
41,0068-FIGTF,Female,20,No,0,Fremont,94539,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,0.0,0,1320.57,3399.52,Stayed,,,0.2896616983454123,0.29945463126476085,Low Value,-0.4611,0.2759515961529778,Stayed Safe
42,0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38.439696,-122.668817,1,25,None,Yes,23.69,Yes,No,,,,,,,,,,,Two Year,No,Credit Card,25.5,630.6,44.42,0,592.25,1178.43,Stayed,,,0.24321826220636558,0.2514410273843396,Low Value,-0.5640999999999999,0.2526978823316928,Stayed Safe
43,0074-HDKDG,Male,46,Yes,0,San Jose,95126,37.327069,-121.916819,5,25,None,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,44.9,0,161.25,1727.35,Stayed,,,0.41208675293893393,0.4260186533300961,High Value,-0.10529999999999995,0.35627850273174694,Stayed Safe
44,0076-LVEPS,Male,57,No,1,Tujunga,91042,34.296574,-118.244839,0,29,None,No,,,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,12.26,0,0.0,1230.19,Stayed,,,0.2636340155279031,0.27254700003386495,Low Value,0.10010000000000002,0.40265047184720276,Stayed Safe
45,0078-XZMHT,Male,19,Yes,0,Visalia,93291,36.391777,-119.372842,5,72,None,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,0.0,0,2329.92,8646.12,Stayed,,,0.7715257428655486,0.7976096189478576,High Value,-0.7174999999999999,0.21806565223280808,Stayed Safe
46,0080-EMYVY,Female,64,No,0,Lodi,95240,38.123544,-121.159078,0,14,None,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,0.0,0,336.56,1064.41,Stayed,,,0.1657930929699014,0.17139825460231536,Low Value,0.48519999999999996,0.4895922698333859,Stayed @ Risk
47,0080-OROZO,Female,38,No,0,El Portal,95318,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,0.0,0,1274.7,4806.7,Stayed,,,0.3714323047237036,0.38398975248091716,High Value,0.33120000000000005,0.45482458120738695,Stayed Safe
48,0082-LDZUE,Male,54,No,0,Calistoga,94515,38.629618,-122.593216,0,1,Offer E,Yes,42.95,No,Yes,DSL,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44.3,44.3,0.0,0,42.95,87.25,Joined,,,0.0656051779935275,0.06782316922579051,Low Value,2.2685000000000004,0.8921975888382173,Joined @ Risk
49,0082-OQIQY,Male,50,No,0,Farmington,95230,37.956963,-120.863055,0,29,None,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,0.0,20,59.45,2687.05,Stayed,,,0.323077381223696,0.33400003734342104,Low Value,1.0365,0.6140560798302251,Stayed @ Risk
50,0083-PIVIK,Male,25,No,0,Tulelake,96134,41.813521,-121.492666,0,64,None,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,0.0,40,351.36,5958.91,Stayed,,,0.5539100840208457,0.5726367721786236,High Value,-0.4988,0.26744028536596376,Stayed Safe
51,0089-IIQKO,Female,35,Yes,3,Coleville,96107,38.42528,-119.475741,1,39,None,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,0.0,0,950.82,4718.22,Stayed,,,0.43176018906416824,0.44635721239484233,High Value,0.8268000000000001,0.5667133246037838,Stayed @ Risk
52,0093-EXYQL,Female,72,No,0,Ojai,93023,34.581308,-118.931948,0,40,None,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,0.0,0,1765.6,5439.2,Stayed,,,0.39734044395824786,0.41077379857866875,High Value,0.8972999999999999,0.5826297015397118,Stayed @ Risk
53,0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,33.832799,-116.250973,0,40,None,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,0.0,0,1507.6,5544.45,Churned,Competitor,Competitor had better devices,0.41298661440053486,0.42694893746400925,High Value,0.7172999999999999,0.5419921434054272,Churned
54,0094-OIFMO,Female,78,No,1,North Hollywood,91605,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,Churned,Dissatisfaction,Product dissatisfaction,0.19728337663521583,0.2039531672375875,Low Value,1.2643,0.6654851672912808,Churned
55,0096-BXERS,Female,30,Yes,0,Inverness,94937,38.099323,-122.945723,10,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,0.0,0,255.96,570.51,Stayed,,,0.4212573595934733,0.43549930144441645,High Value,1.2066000000000001,0.6524585722671242,Stayed @ Risk
56,0096-FCPUF,Male,58,No,0,Santa Rosa,95404,38.526941,-122.709096,0,30,None,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,0.0,0,79.2,1967.65,Stayed,,,0.2942361395991917,0.3041837260215669,Low Value,0.9372,0.5916376935928116,Stayed @ Risk
57,0098-BOWSO,Male,26,No,0,San Jose,95131,37.387027,-121.897775,0,27,None,Yes,20.66,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,0.0,0,557.82,1087.62,Stayed,,,0.2186196271480013,0.22601075740699875,Low Value,0.2409,0.4344380728766875,Stayed Safe
58,0100-DUVFC,Male,66,Yes,0,Wilmington,90744,33.782068,-118.262263,3,70,None,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,6.11,0,2764.3,10067.14,Stayed,,,0.7185560735206571,0.7428491418378468,High Value,0.06720000000000007,0.395222829277103,Stayed Safe
59,0103-CSITQ,Female,20,Yes,0,Modesto,95357,37.670526,-120.877572,10,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,0.0,0,456.57,6709.27,Stayed,,,0.8517564099907871,0.8805527383776984,High Value,-0.5583,0.2540073147604642,Stayed Safe
60,0104-PPXDV,Male,61,Yes,0,San Diego,92113,32.697098,-117.116587,10,58,None,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,10.23,0,1065.46,3933.78,Stayed,,,0.7873941327675773,0.8140144901269633,High Value,-0.2550999999999999,0.3224590237955479,Stayed Safe
61,0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,33.753146,-118.367459,0,16,None,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,0.0,0,411.36,1623.46,Stayed,,,0.20398115988270507,0.2108773903023728,Low Value,0.8989000000000001,0.5829909242786833,Stayed @ Risk
62,0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,0.0,0,2657.88,10840.73,Stayed,,,0.7250456430847515,0.7495581118949288,High Value,-0.9028999999999999,0.17620896735449498,Stayed Safe
63,0107-WESLM,Male,32,No,0,West Point,95255,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,0.0,0,31.77,51.62,Churned,Attitude,Attitude of support person,0.036064724919093856,0.03728400739207822,Low Value,1.4444000000000001,0.7061453018467512,Churned
64,0107-YHINA,Male,59,No,0,Los Angeles,90062,34.003553,-118.308933,0,1,None,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,0.0,0,40.71,140.46,Churned,Competitor,Competitor had better devices,0.1325997842502697,0.13708274074641824,Low Value,1.9219999999999997,0.8139702894297194,Churned
65,0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34.097863,-116.594561,9,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,0.0,0,1019.52,3880.97,Stayed,,,0.6257202739828203,0.6468747334933185,High Value,0.2617,0.439133968483316,Stayed Safe
66,0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33.3249,-114.758334,8,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,0.0,0,779.36,2221.56,Stayed,,,0.4779252610889422,0.49408304117875257,High Value,0.8588999999999999,0.5739603558043977,Stayed @ Risk
67,0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,0.0,0,1937.95,5997.3,Churned,Competitor,Competitor offered higher download speeds,0.48333482783530646,0.49967549549559126,High Value,-0.3874000000000001,0.29259041856684875,Churned
68,0114-IGABW,Female,40,Yes,0,Cambria,93428,35.591387,-121.032256,2,71,Offer A,No,,,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,0.0,0,0.0,4145.9,Stayed,,,0.6380435560307023,0.659614643197292,High Value,-0.9899999999999999,0.1565449045017384,Stayed Safe
69,0114-PEGZZ,Female,39,No,0,Round Mountain,96084,40.923558,-122.059933,0,33,None,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,0.0,0,1639.77,5285.27,Stayed,,,0.36737584514639077,0.3797961514149036,Low Value,0.7583,0.5512484760915698,Stayed @ Risk
